Bundestagswahl 2013
 Zwischenergebnis
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
;;zu;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;
;;;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;
1;"Flensburg - Schleswig";1;226833;225216;;;162712;163329;;;2229;4117;2129;4181;160483;159212;160583;159148;68219;61793;61334;51068;59710;52139;52390;41793;3037;15292;8053;24187;7430;11918;9081;13481;12485;16399;15725;21967;;;;;3422;;3179;3385;949;1302;926;1240;;;1459;;;;;;;;;;;;;;;;;;;;789;1821;;;;;;;;;;;;;;;;;;;44;47;;;;;;;;;5231;;6561;;;;;;;;;;;;;;;;;;;;1042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;369;;159;
2;"Nordfriesland - Dithmarschen Nord";1;185650;187047;;;131532;134671;;;1658;3382;1491;3218;129874;131289;130041;131453;64677;56751;56383;47947;41710;36642;38591;32239;3172;15184;8319;22605;4653;8208;5730;8836;8465;12840;10547;14927;;;;;2467;;2414;2233;761;1231;734;1126;;;968;;;;;;;;;;;;;;;;;;;;566;1293;;;;;;;;;;;;;;;;;;;70;53;;;;;;;;;3969;;4964;;;;;;;;;;;;;;;;;;;;755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;433;;194;
3;"Steinburg - Dithmarschen Süd";1;176579;177604;;;126408;128320;;;1534;3348;1457;3030;124874;124972;124951;125290;56665;49779;52406;43480;42472;37277;37501;31282;6324;16037;7687;21970;4908;8896;6286;9808;6385;10665;9485;12899;;;;;2674;;2709;2549;980;1603;1037;1512;;;929;;;;;;;;;;;;;;;;;;;;516;1604;;;;;;;;;;;;;;;;;;;34;44;;;;;;;;;4466;;5481;;;;;;;;;;;;;;;;;;;;880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;715;;142;
4;"Rendsburg-Eckernförde";1;199047;198910;;;149582;150018;;;1742;3404;1618;3026;147840;146614;147964;146992;66775;58876;60315;49789;54398;47610;46692;39253;2754;14317;8125;23442;4902;8729;6447;9821;10305;14790;13706;18751;;;;;2756;;2620;2985;866;1344;855;1220;;;1290;;;;;;;;;;;;;;;;;;;;666;1540;;;;;;;;;;;;;;;;;;;32;55;;;;;;;;;5084;;6500;;;;;;;;;;;;;;;;;;;;716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;948;;136;
5;"Kiel";1;205216;200347;;;146459;145483;;;1679;3442;1515;2263;144780;142041;144944;143220;47923;42733;43888;36397;62274;54398;50258;42369;3071;12188;7706;19156;7621;11817;10017;13430;14439;18699;20391;24659;;;;;3573;;3946;4267;834;1392;799;1275;;;1197;;;;;;;;;;;;;;;;;;919;;817;1448;;;;;;;;;;;;;;;;;;;72;80;;;;;;;;;4039;;5381;;;;;;;;;;;;;;;;;;;;472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;814;;139;
6;"Plön - Neumünster";1;173875;175132;;;127098;127971;;;1688;3292;1524;3031;125410;124679;125574;124940;54858;48136;48657;40110;47090;41683;41089;35557;2301;12515;6743;19772;4705;7871;5990;8936;7975;12187;11581;15701;;;;;2167;;2154;2281;1161;1363;1160;1315;;;1004;;;;;;;;;;;;;;;;;;;;535;1095;;;;;;;;;;;;;;;;;;;46;42;;;;;;;;;4834;;5904;;;;;;;;;;;;;;;;;;;;711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;319;924;;131;
7;"Pinneberg";1;235236;232899;;;179056;176188;;;1704;3384;1682;3193;177352;172804;177374;172995;80483;70458;72007;57203;64006;54950;55371;45540;3303;17018;9863;28640;6984;11794;8910;13412;11324;16143;15291;20978;;;;;3225;;3370;3659;1260;1912;1319;1743;;;1271;;;;;;;;;;;;;;;;;;;;665;1571;;;;;;;;;;;;;;;;;;;42;56;;;;;;;;;6767;;8479;;;;;;;;;;;;;;;;;;;;786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;529;;193;
8;"Segeberg - Stormarn-Mitte";1;242841;240010;;;183201;180295;;;1753;3674;1678;3303;181448;176621;181523;176992;82434;70290;74130;58225;63988;54065;54680;44445;3720;20084;10443;31407;7001;12527;9109;14280;11137;16633;15687;21245;;;;;3543;;3686;3598;1187;1797;1293;1687;;;1534;;;;;;;;;;;;;;;;;;;;747;1814;;;;;;;;;;;;;;;;;;;45;58;;;;;;;;;6876;;9041;;;;;;;;;;;;;;;;;;1562;;1128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1225;;233;
9;"Ostholstein - Stormarn-Nord";1;179437;179987;;;129075;131917;;;1540;4043;1448;3094;127535;127874;127627;128823;58372;49363;52428;42193;47401;43765;40329;36329;2879;14397;7822;22701;4404;8235;5576;9342;6941;10411;10215;13651;;;;;2028;;2082;2062;715;1270;727;1192;;;893;;;;;;;;;;;;;;;;;;;;480;1178;;;;;;;;;;;;;;;;;;;42;43;;;;;;;;;4795;;6336;;;;;;;;;;;;;;;;;;;;697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;433;;132;
10;"Herzogtum Lauenburg - Stormarn-Süd";1;240158;237144;;;182986;181568;;;1708;3884;1567;3259;181278;177684;181419;178309;81953;70874;73608;59075;62751;53073;53939;45354;3902;19742;10876;30714;6826;12351;8961;13855;12780;18761;16580;22240;;;;;2908;;3029;3248;1356;2330;1377;2126;;;1387;;;;;;;;;;;;;;;;;;;;634;1445;;;;;;;;;;;;;;553;;;;;42;48;;;;;;;;;8351;;10210;;;;;;;;;;;;;;;;;;;;776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;451;;;204;
